"ExNum" "CrownShape" "WeatherStation" "CrownTransmissibility" "ForestGapSize" "PlotID" "Proportion" "Area"
10 "Ellipsoid" "Croker river" 0.2 5 1 0.7 995
10 "Ellipsoid" "Croker river" 0.2 5 1 0.8 1267
10 "Ellipsoid" "Croker river" 0.2 5 1 0.9 1653
10 "Ellipsoid" "Croker river" 0.2 5 1 1 7845
11 "Disk" "Phillip SW Belize" 0.15 5 1 0.1 359
11 "Disk" "Phillip SW Belize" 0.15 5 1 0.2 795
11 "Disk" "Phillip SW Belize" 0.15 5 1 0.3 1296
11 "Disk" "Phillip SW Belize" 0.15 5 1 0.4 1861
11 "Disk" "Phillip SW Belize" 0.15 5 1 0.5 2493
11 "Disk" "Phillip SW Belize" 0.15 5 1 0.6 3201
11 "Disk" "Phillip SW Belize" 0.15 5 1 0.7 4000
11 "Disk" "Phillip SW Belize" 0.15 5 1 0.8 4914
11 "Disk" "Phillip SW Belize" 0.15 5 1 0.9 6027
11 "Disk" "Phillip SW Belize" 0.15 5 1 1 7845
12 "Ellipsoid" "Phillip SW Belize" 0.15 5 1 0.1 202
12 "Ellipsoid" "Phillip SW Belize" 0.15 5 1 0.2 444
12 "Ellipsoid" "Phillip SW Belize" 0.15 5 1 0.3 723
12 "Ellipsoid" "Phillip SW Belize" 0.15 5 1 0.4 1044
12 "Ellipsoid" "Phillip SW Belize" 0.15 5 1 0.5 1414
12 "Ellipsoid" "Phillip SW Belize" 0.15 5 1 0.6 1851
12 "Ellipsoid" "Phillip SW Belize" 0.15 5 1 0.7 2374
12 "Ellipsoid" "Phillip SW Belize" 0.15 5 1 0.8 3027
12 "Ellipsoid" "Phillip SW Belize" 0.15 5 1 0.9 3972
12 "Ellipsoid" "Phillip SW Belize" 0.15 5 1 1 7845
13 "Disk" "Lake Charles" 0.15 5 1 0.1 375
13 "Disk" "Lake Charles" 0.15 5 1 0.2 831
13 "Disk" "Lake Charles" 0.15 5 1 0.3 1346
13 "Disk" "Lake Charles" 0.15 5 1 0.4 1923
13 "Disk" "Lake Charles" 0.15 5 1 0.5 2566
13 "Disk" "Lake Charles" 0.15 5 1 0.6 3280
13 "Disk" "Lake Charles" 0.15 5 1 0.7 4086
13 "Disk" "Lake Charles" 0.15 5 1 0.8 5018
13 "Disk" "Lake Charles" 0.15 5 1 0.9 6135
13 "Disk" "Lake Charles" 0.15 5 1 1 7845
14 "Ellipsoid" "Lake Charles" 0.15 5 1 0.1 197
14 "Ellipsoid" "Lake Charles" 0.15 5 1 0.2 438
14 "Ellipsoid" "Lake Charles" 0.15 5 1 0.3 712
14 "Ellipsoid" "Lake Charles" 0.15 5 1 0.4 1024
14 "Ellipsoid" "Lake Charles" 0.15 5 1 0.5 1385
14 "Ellipsoid" "Lake Charles" 0.15 5 1 0.6 1808
14 "Ellipsoid" "Lake Charles" 0.15 5 1 0.7 2314
14 "Ellipsoid" "Lake Charles" 0.15 5 1 0.8 2952
14 "Ellipsoid" "Lake Charles" 0.15 5 1 0.9 3860
14 "Ellipsoid" "Lake Charles" 0.15 5 1 1 7845
