"ExNum" "CrownShape" "WeatherStation" "CrownTransmissibility" "ForestGapSize" "PlotID" "Proportion" "Area"
10 "Ellipsoid" "Croker river" 0.2 5 1 0.7 5114
10 "Ellipsoid" "Croker river" 0.2 5 1 0.8 5978
10 "Ellipsoid" "Croker river" 0.2 5 1 0.9 6882
10 "Ellipsoid" "Croker river" 0.2 5 1 1 7845
11 "Disk" "Phillip SW Belize" 0.15 5 1 0.1 431
11 "Disk" "Phillip SW Belize" 0.15 5 1 0.2 942
11 "Disk" "Phillip SW Belize" 0.15 5 1 0.3 1509
11 "Disk" "Phillip SW Belize" 0.15 5 1 0.4 2136
11 "Disk" "Phillip SW Belize" 0.15 5 1 0.5 2831
11 "Disk" "Phillip SW Belize" 0.15 5 1 0.6 3595
11 "Disk" "Phillip SW Belize" 0.15 5 1 0.7 4434
11 "Disk" "Phillip SW Belize" 0.15 5 1 0.8 5365
11 "Disk" "Phillip SW Belize" 0.15 5 1 0.9 6432
11 "Disk" "Phillip SW Belize" 0.15 5 1 1 7845
12 "Ellipsoid" "Phillip SW Belize" 0.15 5 1 0.1 434
12 "Ellipsoid" "Phillip SW Belize" 0.15 5 1 0.2 944
12 "Ellipsoid" "Phillip SW Belize" 0.15 5 1 0.3 1511
12 "Ellipsoid" "Phillip SW Belize" 0.15 5 1 0.4 2139
12 "Ellipsoid" "Phillip SW Belize" 0.15 5 1 0.5 2837
12 "Ellipsoid" "Phillip SW Belize" 0.15 5 1 0.6 3614
12 "Ellipsoid" "Phillip SW Belize" 0.15 5 1 0.7 4478
12 "Ellipsoid" "Phillip SW Belize" 0.15 5 1 0.8 5450
12 "Ellipsoid" "Phillip SW Belize" 0.15 5 1 0.9 6548
12 "Ellipsoid" "Phillip SW Belize" 0.15 5 1 1 7845
13 "Disk" "Lake Charles" 0.15 5 1 0.1 441
13 "Disk" "Lake Charles" 0.15 5 1 0.2 960
13 "Disk" "Lake Charles" 0.15 5 1 0.3 1539
13 "Disk" "Lake Charles" 0.15 5 1 0.4 2174
13 "Disk" "Lake Charles" 0.15 5 1 0.5 2866
13 "Disk" "Lake Charles" 0.15 5 1 0.6 3626
13 "Disk" "Lake Charles" 0.15 5 1 0.7 4462
13 "Disk" "Lake Charles" 0.15 5 1 0.8 5395
13 "Disk" "Lake Charles" 0.15 5 1 0.9 6460
13 "Disk" "Lake Charles" 0.15 5 1 1 7845
14 "Ellipsoid" "Lake Charles" 0.15 5 1 0.1 449
14 "Ellipsoid" "Lake Charles" 0.15 5 1 0.2 966
14 "Ellipsoid" "Lake Charles" 0.15 5 1 0.3 1539
14 "Ellipsoid" "Lake Charles" 0.15 5 1 0.4 2176
14 "Ellipsoid" "Lake Charles" 0.15 5 1 0.5 2879
14 "Ellipsoid" "Lake Charles" 0.15 5 1 0.6 3655
14 "Ellipsoid" "Lake Charles" 0.15 5 1 0.7 4519
14 "Ellipsoid" "Lake Charles" 0.15 5 1 0.8 5488
14 "Ellipsoid" "Lake Charles" 0.15 5 1 0.9 6574
14 "Ellipsoid" "Lake Charles" 0.15 5 1 1 7845
15 "Disk" "McMinnville" 0.15 5 1 0.1 483
15 "Disk" "McMinnville" 0.15 5 1 0.2 1040
15 "Disk" "McMinnville" 0.15 5 1 0.3 1650
15 "Disk" "McMinnville" 0.15 5 1 0.4 2312
15 "Disk" "McMinnville" 0.15 5 1 0.5 3030
15 "Disk" "McMinnville" 0.15 5 1 0.6 3806
15 "Disk" "McMinnville" 0.15 5 1 0.7 4646
15 "Disk" "McMinnville" 0.15 5 1 0.8 5559
15 "Disk" "McMinnville" 0.15 5 1 0.9 6578
15 "Disk" "McMinnville" 0.15 5 1 1 7845
16 "Ellipsoid" "McMinnville" 0.15 5 1 0.1 492
16 "Ellipsoid" "McMinnville" 0.15 5 1 0.2 1046
16 "Ellipsoid" "McMinnville" 0.15 5 1 0.3 1658
16 "Ellipsoid" "McMinnville" 0.15 5 1 0.4 2331
16 "Ellipsoid" "McMinnville" 0.15 5 1 0.5 3062
16 "Ellipsoid" "McMinnville" 0.15 5 1 0.6 3852
16 "Ellipsoid" "McMinnville" 0.15 5 1 0.7 4718
16 "Ellipsoid" "McMinnville" 0.15 5 1 0.8 5660
16 "Ellipsoid" "McMinnville" 0.15 5 1 0.9 6685
16 "Ellipsoid" "McMinnville" 0.15 5 1 1 7845
