"ExNum" "CrownShape" "WeatherStation" "CrownTransmissibility" "ForestGapSize" "PlotID" "TotalRad"
94 "Ellipsoid" "Lake Charles" 0 10 1 1489237368.07188
95 "Disk" "McMinnville" 0 10 1 1777669765.55758
96 "Ellipsoid" "McMinnville" 0 10 1 1892067059.46272
97 "Disk" "Lindenberg" 0 10 1 1638634243.41596
98 "Ellipsoid" "Lindenberg" 0 10 1 1744216602.42757
99 "Disk" "Croker river" 0 10 1 2172329070.62831
100 "Ellipsoid" "Croker river" 0 10 1 2275011686.64734
101 "Disk" "Phillip SW Belize" 0.2 15 1 2336974254.10232
102 "Ellipsoid" "Phillip SW Belize" 0.2 15 1 2396092185.44743
103 "Disk" "Lake Charles" 0.2 15 1 2373648429.68735
104 "Ellipsoid" "Lake Charles" 0.2 15 1 2436986508.13103
105 "Disk" "McMinnville" 0.2 15 1 2934340516.79842
106 "Ellipsoid" "McMinnville" 0.2 15 1 3027408978.43292
107 "Disk" "Lindenberg" 0.2 15 1 2684569465.0305
108 "Ellipsoid" "Lindenberg" 0.2 15 1 2770352674.55899
109 "Disk" "Croker river" 0.2 15 1 3351583616.49852
110 "Ellipsoid" "Croker river" 0.2 15 1 3456808993.67313
111 "Disk" "Phillip SW Belize" 0.15 15 1 2135931073.95909
112 "Ellipsoid" "Phillip SW Belize" 0.15 15 1 2197255785.83978
113 "Disk" "Lake Charles" 0.15 15 1 2169669395.93886
114 "Ellipsoid" "Lake Charles" 0.15 15 1 2235619426.98195
115 "Disk" "McMinnville" 0.15 15 1 2684179914.5762
116 "Ellipsoid" "McMinnville" 0.15 15 1 2781416781.60636
117 "Disk" "Lindenberg" 0.15 15 1 2457523615.3869
118 "Ellipsoid" "Lindenberg" 0.15 15 1 2547237169.75198
119 "Disk" "Croker river" 0.15 15 1 3073501028.64565
120 "Ellipsoid" "Croker river" 0.15 15 1 3181883060.62861
121 "Disk" "Phillip SW Belize" 0.1 15 1 1952487668.77753
122 "Ellipsoid" "Phillip SW Belize" 0.1 15 1 2015646855.98937
123 "Disk" "Lake Charles" 0.1 15 1 1983453206.72778
124 "Ellipsoid" "Lake Charles" 0.1 15 1 2051620922.05467
125 "Disk" "McMinnville" 0.1 15 1 2455409810.91279
126 "Ellipsoid" "McMinnville" 0.1 15 1 2556275498.17463
127 "Disk" "Lindenberg" 0.1 15 1 2249695679.64185
128 "Ellipsoid" "Lindenberg" 0.1 15 1 2342842719.3256
129 "Disk" "Croker river" 0.1 15 1 2817875344.54704
130 "Ellipsoid" "Croker river" 0.1 15 1 2929181812.38857
131 "Disk" "Phillip SW Belize" 0.05 15 1 1785515458.12844
132 "Ellipsoid" "Phillip SW Belize" 0.05 15 1 1850126275.53186
133 "Disk" "Lake Charles" 0.05 15 1 1813836476.68464
134 "Ellipsoid" "Lake Charles" 0.05 15 1 1883815744.86097
135 "Disk" "McMinnville" 0.05 15 1 2246575693.81228
136 "Ellipsoid" "McMinnville" 0.05 15 1 2350509984.9353
137 "Disk" "Lindenberg" 0.05 15 1 2059763126.18943
138 "Ellipsoid" "Lindenberg" 0.05 15 1 2155824689.17597
139 "Disk" "Croker river" 0.05 15 1 2583028877.61302
140 "Ellipsoid" "Croker river" 0.05 15 1 2697046830.48674
141 "Disk" "Phillip SW Belize" 0 15 1 1633942807.87072
142 "Ellipsoid" "Phillip SW Belize" 0 15 1 1699616288.81937
143 "Disk" "Lake Charles" 0 15 1 1659715092.73062
144 "Ellipsoid" "Lake Charles" 0 15 1 1731092892.56326
145 "Disk" "McMinnville" 0 15 1 2056304233.49285
146 "Ellipsoid" "McMinnville" 0 15 1 2162731705.96105
147 "Disk" "Lindenberg" 0 15 1 1886480467.74474
148 "Ellipsoid" "Lindenberg" 0 15 1 1984920042.73223
149 "Disk" "Croker river" 0 15 1 2367397979.92887
150 "Ellipsoid" "Croker river" 0 15 1 2483932141.98558
151 "Disk" "Phillip SW Belize" 0.2 20 1 2728942529.70133
152 "Ellipsoid" "Phillip SW Belize" 0.2 20 1 2834681448.10896
153 "Disk" "Lake Charles" 0.2 20 1 2761976578.27802
