"ExNum" "CrownShape" "WeatherStation" "CrownTransmissibility" "ForestGapSize" "PlotID" "CentroidX" "CentroidY"
76 "Ellipsoid" "McMinnville" 0.1 10 1 1.7037516961264 2.73638490063531
77 "Disk" "Lindenberg" 0.1 10 1 2.01173662799987 2.79572403082969
78 "Ellipsoid" "Lindenberg" 0.1 10 1 1.61065716101295 3.16516177257313
79 "Disk" "Croker river" 0.1 10 1 1.34081864142925 2.54823712921253
80 "Ellipsoid" "Croker river" 0.1 10 1 0.942763484033398 3.08144597470737
81 "Disk" "Phillip SW Belize" 0.05 10 1 2.59099918722049 1.70308735724338
82 "Ellipsoid" "Phillip SW Belize" 0.05 10 1 2.37743390895629 1.93504954219533
83 "Disk" "Lake Charles" 0.05 10 1 2.3413814454296 2.09469625709941
84 "Ellipsoid" "Lake Charles" 0.05 10 1 2.22188413456116 2.3421956092849
85 "Disk" "McMinnville" 0.05 10 1 2.13452517136672 2.8786542100581
86 "Ellipsoid" "McMinnville" 0.05 10 1 1.8449336789475 2.93175233843318
87 "Disk" "Lindenberg" 0.05 10 1 2.20434675590764 2.94817781714437
88 "Ellipsoid" "Lindenberg" 0.05 10 1 1.73238828111679 3.38990121788539
89 "Disk" "Croker river" 0.05 10 1 1.48905446218882 2.70092016129213
90 "Ellipsoid" "Croker river" 0.05 10 1 1.00279040505684 3.29490650754011
91 "Disk" "Phillip SW Belize" 0 10 1 2.91536819057405 1.87671848490304
92 "Ellipsoid" "Phillip SW Belize" 0 10 1 2.63540631243702 2.11212641617969
93 "Disk" "Lake Charles" 0 10 1 2.59350037550658 2.28000435712253
94 "Ellipsoid" "Lake Charles" 0 10 1 2.44387843566852 2.53620989942767
95 "Disk" "McMinnville" 0 10 1 2.33395855394338 3.05625577997103
96 "Ellipsoid" "McMinnville" 0 10 1 1.99363856673903 3.13105692413084
97 "Disk" "Lindenberg" 0 10 1 2.41082159425598 3.09808317380781
98 "Ellipsoid" "Lindenberg" 0 10 1 1.85849622172477 3.62014249558117
99 "Disk" "Croker river" 0 10 1 1.65141449878991 2.85415011637686
100 "Ellipsoid" "Croker river" 0 10 1 1.06368932936492 3.5137186670523
101 "Disk" "Phillip SW Belize" 0.2 15 1 1.45814092123592 1.18344580547538
102 "Ellipsoid" "Phillip SW Belize" 0.2 15 1 1.34887171436328 1.35834134274082
103 "Disk" "Lake Charles" 0.2 15 1 1.42852625374796 1.95457268339086
104 "Ellipsoid" "Lake Charles" 0.2 15 1 1.2860412139358 2.00929894965568
105 "Disk" "McMinnville" 0.2 15 1 1.42830326531171 3.13125866556301
106 "Ellipsoid" "McMinnville" 0.2 15 1 1.12507338732683 2.87308219101517
107 "Disk" "Lindenberg" 0.2 15 1 1.4931634783851 3.50975947823209
