"ExNum" "CrownShape" "WeatherStation" "CrownTransmissibility" "ForestGapSize" "PlotID" "CentroidX" "CentroidY"
76 "Ellipsoid" "McMinnville" 0.1 10 1 4.93189668794506 6.36576348193092
77 "Disk" "Lindenberg" 0.1 10 1 2.26648333326115 2.73304028859854
78 "Ellipsoid" "Lindenberg" 0.1 10 1 4.72441659055837 8.24076465215885
79 "Disk" "Croker river" 0.1 10 1 1.36125340349374 2.28384831890354
80 "Ellipsoid" "Croker river" 0.1 10 1 4.49049102521072 15.2897223653545
81 "Disk" "Phillip SW Belize" 0.05 10 1 2.67837209739035 1.47998745393559
82 "Ellipsoid" "Phillip SW Belize" 0.05 10 1 5.19223635106778 3.87803477024431
83 "Disk" "Lake Charles" 0.05 10 1 2.35302827266962 1.99939106809371
84 "Ellipsoid" "Lake Charles" 0.05 10 1 4.94747627250798 4.45296229591484
85 "Disk" "McMinnville" 0.05 10 1 2.12640900785379 2.78432591104981
86 "Ellipsoid" "McMinnville" 0.05 10 1 4.93189668794506 6.36576348193092
87 "Disk" "Lindenberg" 0.05 10 1 2.26648333326115 2.73304028859854
88 "Ellipsoid" "Lindenberg" 0.05 10 1 4.72441659055837 8.24076465215885
89 "Disk" "Croker river" 0.05 10 1 1.36125340349374 2.28384831890354
90 "Ellipsoid" "Croker river" 0.05 10 1 4.49049102521072 15.2897223653545
91 "Disk" "Phillip SW Belize" 0 10 1 2.67837209739035 1.47998745393559
92 "Ellipsoid" "Phillip SW Belize" 0 10 1 5.19223635106778 3.87803477024431
93 "Disk" "Lake Charles" 0 10 1 2.35302827266962 1.99939106809371
94 "Ellipsoid" "Lake Charles" 0 10 1 4.94747627250798 4.45296229591484
95 "Disk" "McMinnville" 0 10 1 2.12640900785379 2.78432591104981
96 "Ellipsoid" "McMinnville" 0 10 1 4.93189668794506 6.36576348193092
97 "Disk" "Lindenberg" 0 10 1 2.26648333326115 2.73304028859854
98 "Ellipsoid" "Lindenberg" 0 10 1 4.72441659055837 8.24076465215885
99 "Disk" "Croker river" 0 10 1 1.36125340349374 2.28384831890354
100 "Ellipsoid" "Croker river" 0 10 1 4.49049102521072 15.2897223653545
101 "Disk" "Phillip SW Belize" 0.2 15 1 2.04188984392968 1.36528605021499
102 "Ellipsoid" "Phillip SW Belize" 0.2 15 1 3.01006706743762 3.21991480575817
103 "Disk" "Lake Charles" 0.2 15 1 1.90974676317693 2.50459339655004
104 "Ellipsoid" "Lake Charles" 0.2 15 1 2.94808864062064 4.74894072645388
105 "Disk" "McMinnville" 0.2 15 1 1.86054180272432 3.92832414210998
106 "Ellipsoid" "McMinnville" 0.2 15 1 2.55588286499483 7.91537864231143
107 "Disk" "Lindenberg" 0.2 15 1 2.02280531790367 4.27418152057024
108 "Ellipsoid" "Lindenberg" 0.2 15 1 2.11658164298398 10.3452239679655
109 "Disk" "Croker river" 0.2 15 1 1.41977247364752 3.81595100414215
110 "Ellipsoid" "Croker river" 0.2 15 1 1.44144652420595 18.2123675698605
