"ExNum" "CrownShape" "WeatherStation" "CrownTransmissibility" "ForestGapSize" "PlotID" "ShadeTolerance" "Proportion"
27 "Disk" "Lindenberg" 0.1 5 1 "low" 0.0385815957048321
28 "Ellipsoid" "Lindenberg" 0.1 5 1 "high" 0.353727057060807
28 "Ellipsoid" "Lindenberg" 0.1 5 1 "intermediate" 0.555250343363716
28 "Ellipsoid" "Lindenberg" 0.1 5 1 "low" 0.0910225995754776
29 "Disk" "Croker river" 0.1 5 1 "high" 0.0701710575602447
29 "Disk" "Croker river" 0.1 5 1 "intermediate" 0.903483580971407
29 "Disk" "Croker river" 0.1 5 1 "low" 0.0263453614683481
30 "Ellipsoid" "Croker river" 0.1 5 1 "high" 0.00262205019353228
30 "Ellipsoid" "Croker river" 0.1 5 1 "intermediate" 0.939318266949682
30 "Ellipsoid" "Croker river" 0.1 5 1 "low" 0.0580596828567861
31 "Disk" "Phillip SW Belize" 0.05 5 1 "high" 0.645149207141965
31 "Disk" "Phillip SW Belize" 0.05 5 1 "intermediate" 0.311025096766138
31 "Disk" "Phillip SW Belize" 0.05 5 1 "low" 0.0438256960918966
32 "Ellipsoid" "Phillip SW Belize" 0.05 5 1 "high" 0.589336995879635
32 "Ellipsoid" "Phillip SW Belize" 0.05 5 1 "intermediate" 0.335497565239106
32 "Ellipsoid" "Phillip SW Belize" 0.05 5 1 "low" 0.0751654388812586
33 "Disk" "Lake Charles" 0.05 5 1 "high" 0.606193032838057
33 "Disk" "Lake Charles" 0.05 5 1 "intermediate" 0.353602197527781
33 "Disk" "Lake Charles" 0.05 5 1 "low" 0.0402047696341616
34 "Ellipsoid" "Lake Charles" 0.05 5 1 "high" 0.587464102884255
34 "Ellipsoid" "Lake Charles" 0.05 5 1 "intermediate" 0.341365963291297
34 "Ellipsoid" "Lake Charles" 0.05 5 1 "low" 0.0711699338244475
35 "Disk" "McMinnville" 0.05 5 1 "high" 0.555375202896741
35 "Disk" "McMinnville" 0.05 5 1 "intermediate" 0.428892495942065
35 "Disk" "McMinnville" 0.05 5 1 "low" 0.0157323011611937
36 "Ellipsoid" "McMinnville" 0.05 5 1 "high" 0.530028717692596
36 "Ellipsoid" "McMinnville" 0.05 5 1 "intermediate" 0.412411037582719
36 "Ellipsoid" "McMinnville" 0.05 5 1 "low" 0.0575602447246847
37 "Disk" "Lindenberg" 0.05 5 1 "high" 0.570608065925833
37 "Disk" "Lindenberg" 0.05 5 1 "intermediate" 0.422025221625671
37 "Disk" "Lindenberg" 0.05 5 1 "low" 0.00736671244849544
38 "Ellipsoid" "Lindenberg" 0.05 5 1 "high" 0.522786864777126
38 "Ellipsoid" "Lindenberg" 0.05 5 1 "intermediate" 0.43064052940442
38 "Ellipsoid" "Lindenberg" 0.05 5 1 "low" 0.0465726058184542
39 "Disk" "Croker river" 0.05 5 1 "high" 0.301660631789237
39 "Disk" "Croker river" 0.05 5 1 "intermediate" 0.694343863153952
39 "Disk" "Croker river" 0.05 5 1 "low" 0.00399550505681109
40 "Ellipsoid" "Croker river" 0.05 5 1 "high" 0.218004744662255
40 "Ellipsoid" "Croker river" 0.05 5 1 "intermediate" 0.781995255337745
40 "Ellipsoid" "Croker river" 0.05 5 1 "low" 0
41 "Disk" "Phillip SW Belize" 0 5 1 "high" 0.727057060806593
41 "Disk" "Phillip SW Belize" 0 5 1 "intermediate" 0.251591959046073
41 "Disk" "Phillip SW Belize" 0 5 1 "low" 0.0213509801473342
42 "Ellipsoid" "Phillip SW Belize" 0 5 1 "high" 0.672243725808465
42 "Ellipsoid" "Phillip SW Belize" 0 5 1 "intermediate" 0.281932825571232
42 "Ellipsoid" "Phillip SW Belize" 0 5 1 "low" 0.0458234486203022
43 "Disk" "Lake Charles" 0 5 1 "high" 0.731052565863404
43 "Disk" "Lake Charles" 0 5 1 "intermediate" 0.248969908852541
43 "Disk" "Lake Charles" 0 5 1 "low" 0.0199775252840554
44 "Ellipsoid" "Lake Charles" 0 5 1 "high" 0.67748782619553
44 "Ellipsoid" "Lake Charles" 0 5 1 "intermediate" 0.28305656136846
44 "Ellipsoid" "Lake Charles" 0 5 1 "low" 0.0394556124360095
45 "Disk" "McMinnville" 0 5 1 "high" 0.697715070545636
45 "Disk" "McMinnville" 0 5 1 "intermediate" 0.296416531402173
45 "Disk" "McMinnville" 0 5 1 "low" 0.00586839805219128
46 "Ellipsoid" "McMinnville" 0 5 1 "high" 0.653514795854664
46 "Ellipsoid" "McMinnville" 0 5 1 "intermediate" 0.323511050068673
46 "Ellipsoid" "McMinnville" 0 5 1 "low" 0.0229741540766638
47 "Disk" "Lindenberg" 0 5 1 "high" 0.694593582220002
47 "Disk" "Lindenberg" 0 5 1 "intermediate" 0.304906979647896
47 "Disk" "Lindenberg" 0 5 1 "low" 0.000499438132101386
48 "Ellipsoid" "Lindenberg" 0 5 1 "high" 0.646148083406168
