pxcor,pycor,Latitude,CrownShape,CrownTransmissibility,Radiation
"-200",200,52.217,Disk,5,0
"-200",-44,52.217,Disk,5,0
"-200",-57,52.217,Disk,5,0
"-200",-114,52.217,Disk,5,0
"-200",56,52.217,Disk,5,0
"-200",137,52.217,Disk,5,0
"-200",31,52.217,Disk,5,0
"-200",-194,52.217,Disk,5,0
"-200",196,52.217,Disk,5,0
"-200",97,52.217,Disk,5,0
"-200",-152,52.217,Disk,5,0
"-200",-108,52.217,Disk,5,0
"-200",155,52.217,Disk,5,0
"-200",-121,52.217,Disk,5,0
"-200",-86,52.217,Disk,5,0
"-200",174,52.217,Disk,5,0
"-200",143,52.217,Disk,5,0
"-200",-163,52.217,Disk,5,0
"-200",0,52.217,Disk,5,0
"-200",182,52.217,Disk,5,0
"-200",-14,52.217,Disk,5,0
"-200",160,52.217,Disk,5,0
"-200",-155,52.217,Disk,5,0
"-200",-88,52.217,Disk,5,0
"-200",194,52.217,Disk,5,0
"-200",-42,52.217,Disk,5,0
"-200",171,52.217,Disk,5,0
"-200",9,52.217,Disk,5,0
"-200",163,52.217,Disk,5,0
"-200",-19,52.217,Disk,5,0
"-200",53,52.217,Disk,5,0
"-200",39,52.217,Disk,5,0
"-200",-133,52.217,Disk,5,0
"-200",-20,52.217,Disk,5,0
"-200",-124,52.217,Disk,5,0
"-200",68,52.217,Disk,5,0
"-200",22,52.217,Disk,5,0
"-200",-198,52.217,Disk,5,0
"-200",184,52.217,Disk,5,0
"-200",86,52.217,Disk,5,0
"-200",18,52.217,Disk,5,0
"-200",157,52.217,Disk,5,0
"-200",177,52.217,Disk,5,0
"-200",-143,52.217,Disk,5,0
"-200",-115,52.217,Disk,5,0
"-200",165,52.217,Disk,5,0
"-200",5,52.217,Disk,5,0
"-200",-109,52.217,Disk,5,0
"-200",-141,52.217,Disk,5,0
"-200",44,52.217,Disk,5,0
"-200",-65,52.217,Disk,5,0
"-200",167,52.217,Disk,5,0
"-200",-80,52.217,Disk,5,0
"-200",-32,52.217,Disk,5,0
"-200",-154,52.217,Disk,5,0
"-200",127,52.217,Disk,5,0
"-200",106,52.217,Disk,5,0
"-200",75,52.217,Disk,5,0
"-200",134,52.217,Disk,5,0
"-200",-43,52.217,Disk,5,0
"-200",73,52.217,Disk,5,0
"-200",119,52.217,Disk,5,0
"-200",-200,52.217,Disk,5,0
"-200",125,52.217,Disk,5,0
"-200",173,52.217,Disk,5,0
"-200",-22,52.217,Disk,5,0
"-200",-47,52.217,Disk,5,0
